Zins/Laufzeit;Produkt;Effektivzins;Laufzeit;Faktor;Nominalzins
4,1|66|;9;4,1;66;11,645;4,1
4,1|67|;9;4,1;67;11,823;4,1
4,1|68|;9;4,1;68;12,009;4,1
4,1|69|;9;4,1;69;12,18;4,1
4,1|70|;9;4,1;70;12,364;4,1
4,1|71|;9;4,1;71;12,549;4,1
4,1|72|;9;4,1;72;12,723;4,1
4,2|6|;9;4,2;6;1,205;4,2
4,2|7|;9;4,2;7;1,378;4,2
4,2|8|;9;4,2;8;1,552;4,2
4,2|9|;9;4,2;9;1,725;4,2
4,2|10|;9;4,2;10;1,898;4,2
4,2|11|;9;4,2;11;2,073;4,2
4,2|12|;9;4,2;12;2,247;4,2
4,2|13|;9;4,2;13;2,421;4,2
4,2|14|;9;4,2;14;2,594;4,2
4,2|15|;9;4,2;15;2,768;4,2
4,2|16|;9;4,2;16;2,944;4,2
4,2|17|;9;4,2;17;3,118;4,2
4,2|18|;9;4,2;18;3,294;4,2
4,2|19|;9;4,2;19;3,47;4,2
4,2|20|;9;4,2;20;3,644;4,2
4,2|21|;9;4,2;21;3,819;4,2
4,2|22|;9;4,2;22;3,998;4,2
4,2|23|;9;4,2;23;4,171;4,2
4,2|24|;9;4,2;24;4,347;4,2
4,2|25|;9;4,2;25;4,525;4,2
4,2|26|;9;4,2;26;4,702;4,2
4,2|27|;9;4,2;27;4,878;4,2
4,2|28|;9;4,2;28;5,056;4,2
4,2|29|;9;4,2;29;5,235;4,2
4,2|30|;9;4,2;30;5,414;4,2
4,2|31|;9;4,2;31;5,592;4,2
4,2|32|;9;4,2;32;5,766;4,2
4,2|33|;9;4,2;33;5,943;4,2
4,2|34|;9;4,2;34;6,12;4,2
4,2|35|;9;4,2;35;6,302;4,2
4,2|36|;9;4,2;36;6,48;4,2
4,2|37|;9;4,2;37;6,656;4,2
4,2|38|;9;4,2;38;6,84;4,2
4,2|39|;9;4,2;39;7,016;4,2
4,2|40|;9;4,2;40;7,2;4,2
4,2|41|;9;4,2;41;7,379;4,2
4,2|42|;9;4,2;42;7,553;4,2
4,2|43|;9;4,2;43;7,74;4,2
4,2|44|;9;4,2;44;7,914;4,2
4,2|45|;9;4,2;45;8,099;4,2
4,2|46|;9;4,2;46;8,274;4,2
4,2|47|;9;4,2;47;8,457;4,2
4,2|48|;9;4,2;48;8,643;4,2
4,2|49|;9;4,2;49;8,819;4,2
4,2|50|;9;4,2;50;9;4,2
4,2|51|;9;4,2;51;9,18;4,2
4,2|52|;9;4,2;52;9,366;4,2
4,2|53|;9;4,2;53;9,551;4,2
4,2|54|;9;4,2;54;9,728;4,2
4,2|55|;9;4,2;55;9,912;4,2
4,2|56|;9;4,2;56;10,096;4,2
4,2|57|;9;4,2;57;10,283;4,2
4,2|58|;9;4,2;58;10,466;4,2
4,2|59|;9;4,2;59;10,648;4,2
4,2|60|;9;4,2;60;10,832;4,2
4,2|61|;9;4,2;61;11,007;4,2
4,2|62|;9;4,2;62;11,19;4,2
4,2|63|;9;4,2;63;11,384;4,2
4,2|64|;9;4,2;64;11,564;4,2
4,2|65|;9;4,2;65;11,748;4,2
4,2|66|;9;4,2;66;11,936;4,2
4,2|67|;9;4,2;67;12,117;4,2
4,2|68|;9;4,2;68;12,295;4,2
4,2|69|;9;4,2;69;12,483;4,2
4,2|70|;9;4,2;70;12,672;4,2
4,2|71|;9;4,2;71;12,861;4,2
4,2|72|;9;4,2;72;13,04;4,2
4,3|6|;9;4,3;6;1,233;4,3
4,3|7|;9;4,3;7;1,41;4,3
4,3|8|;9;4,3;8;1,588;4,3
4,3|9|;9;4,3;9;1,764;4,3
4,3|10|;9;4,3;10;1,944;4,3
4,3|11|;9;4,3;11;2,121;4,3
4,3|12|;9;4,3;12;2,3;4,3
4,3|13|;9;4,3;13;2,476;4,3
4,3|14|;9;4,3;14;2,656;4,3
4,3|15|;9;4,3;15;2,834;4,3
4,3|16|;9;4,3;16;3,014;4,3
4,3|17|;9;4,3;17;3,193;4,3
4,3|18|;9;4,3;18;3,37;4,3
4,3|19|;9;4,3;19;3,55;4,3
4,3|20|;9;4,3;20;3,732;4,3
4,3|21|;9;4,3;21;3,912;4,3
4,3|22|;9;4,3;22;4,09;4,3
4,3|23|;9;4,3;23;4,272;4,3
4,3|24|;9;4,3;24;4,452;4,3
4,3|25|;9;4,3;25;4,635;4,3
4,3|26|;9;4,3;26;4,816;4,3
4,3|27|;9;4,3;27;4,997;4,3
4,3|28|;9;4,3;28;5,179;4,3
4,3|29|;9;4,3;29;5,357;4,3
4,3|30|;9;4,3;30;5,54;4,3
4,3|31|;9;4,3;31;5,722;4,3
4,3|32|;9;4,3;32;5,907;4,3
4,3|33|;9;4,3;33;6,088;4,3
4,3|34|;9;4,3;34;6,27;4,3
4,3|35|;9;4,3;35;6,449;4,3
4,3|36|;9;4,3;36;6,632;4,3
4,3|37|;9;4,3;37;6,819;4,3
4,3|38|;9;4,3;38;7;4,3
4,3|39|;9;4,3;39;7,187;4,3
4,3|40|;9;4,3;40;7,368;4,3
4,3|41|;9;4,3;41;7,551;4,3
4,3|42|;9;4,3;42;7,738;4,3
4,3|43|;9;4,3;43;7,921;4,3
4,3|44|;9;4,3;44;8,108;4,3
4,3|45|;9;4,3;45;8,288;4,3
4,3|46|;9;4,3;46;8,477;4,3
4,3|47|;9;4,3;47;8,664;4,3
4,3|48|;9;4,3;48;8,844;4,3
4,3|49|;9;4,3;49;9,034;4,3
4,3|50|;9;4,3;50;9,22;4,3
4,3|51|;9;4,3;51;9,405;4,3
4,3|52|;9;4,3;52;9,595;4,3
4,3|53|;9;4,3;53;9,773;4,3
4,3|54|;9;4,3;54;9,965;4,3
4,3|55|;9;4,3;55;10,154;4,3
4,3|56|;9;4,3;56;10,342;4,3
4,3|57|;9;4,3;57;10,523;4,3
4,3|58|;9;4,3;58;10,71;4,3
4,3|59|;9;4,3;59;10,896;4,3
4,3|60|;9;4,3;60;11,084;4,3
4,3|61|;9;4,3;61;11,276;4,3
4,3|62|;9;4,3;62;11,463;4,3
4,3|63|;9;4,3;63;11,648;4,3
4,3|64|;9;4,3;64;11,846;4,3
4,3|65|;9;4,3;65;12,034;4,3
4,3|66|;9;4,3;66;12,226;4,3
4,3|67|;9;4,3;67;12,412;4,3
4,3|68|;9;4,3;68;12,594;4,3
4,3|69|;9;4,3;69;12,787;4,3
4,3|70|;9;4,3;70;12,98;4,3
4,3|71|;9;4,3;71;13,174;4,3
4,3|72|;9;4,3;72;13,356;4,3
4,4|6|;9;4,4;6;1,262;4,4
4,4|7|;9;4,4;7;1,442;4,4
4,4|8|;9;4,4;8;1,624;4,4
4,4|9|;9;4,4;9;1,806;4,4
4,4|10|;9;4,4;10;1,988;4,4
4,4|11|;9;4,4;11;2,17;4,4
4,4|12|;9;4,4;12;2,352;4,4
4,4|13|;9;4,4;13;2,533;4,4
4,4|14|;9;4,4;14;2,718;4,4
4,4|15|;9;4,4;15;2,9;4,4
4,4|16|;9;4,4;16;3,081;4,4
4,4|17|;9;4,4;17;3,264;4,4
4,4|18|;9;4,4;18;3,449;4,4
4,4|19|;9;4,4;19;3,633;4,4
4,4|20|;9;4,4;20;3,816;4,4
4,4|21|;9;4,4;21;4;4,4
4,4|22|;9;4,4;22;4,187;4,4
4,4|23|;9;4,4;23;4,369;4,4
4,4|24|;9;4,4;24;4,553;4,4
4,4|25|;9;4,4;25;4,74;4,4
4,4|26|;9;4,4;26;4,925;4,4
4,4|27|;9;4,4;27;5,111;4,4
4,4|28|;9;4,4;28;5,296;4,4
4,4|29|;9;4,4;29;5,484;4,4
4,4|30|;9;4,4;30;5,666;4,4
4,4|31|;9;4,4;31;5,852;4,4
4,4|32|;9;4,4;32;6,041;4,4
4,4|33|;9;4,4;33;6,227;4,4
4,4|34|;9;4,4;34;6,413;4,4
4,4|35|;9;4,4;35;6,603;4,4
4,4|36|;9;4,4;36;6,79;4,4
4,4|37|;9;4,4;37;6,974;4,4
4,4|38|;9;4,4;38;7,167;4,4
4,4|39|;9;4,4;39;7,351;4,4
4,4|40|;9;4,4;40;7,544;4,4
4,4|41|;9;4,4;41;7,731;4,4
4,4|42|;9;4,4;42;7,914;4,4
4,4|43|;9;4,4;43;8,11;4,4
4,4|44|;9;4,4;44;8,292;4,4
4,4|45|;9;4,4;45;8,486;4,4
4,4|46|;9;4,4;46;8,67;4,4
4,4|47|;9;4,4;47;8,861;4,4
4,4|48|;9;4,4;48;9,056;4,4
4,4|49|;9;4,4;49;9,24;4,4
4,4|50|;9;4,4;50;9,44;4,4
4,4|51|;9;4,4;51;9,629;4,4
4,4|52|;9;4,4;52;9,813;4,4
4,4|53|;9;4,4;53;10,006;4,4
4,4|54|;9;4,4;54;10,203;4,4
4,4|55|;9;4,4;55;10,385;4,4
4,4|56|;9;4,4;56;10,577;4,4
4,4|57|;9;4,4;57;10,773;4,4
4,4|58|;9;4,4;58;10,965;4,4
4,4|59|;9;4,4;59;11,156;4,4
4,4|60|;9;4,4;60;11,348;4,4
4,4|61|;9;4,4;61;11,544;4,4
4,4|62|;9;4,4;62;11,736;4,4
4,4|63|;9;4,4;63;11,925;4,4
4,4|64|;9;4,4;64;12,128;4,4
4,4|65|;9;4,4;65;12,32;4,4
4,4|66|;9;4,4;66;12,503;4,4
4,4|67|;9;4,4;67;12,707;4,4
4,4|68|;9;4,4;68;12,893;4,4
4,4|69|;9;4,4;69;13,091;4,4
4,4|70|;9;4,4;70;13,288;4,4
4,4|71|;9;4,4;71;13,486;4,4
4,4|72|;9;4,4;72;13,673;4,4
4,5|6|;9;4,5;6;1,289;4,5
4,5|7|;9;4,5;7;1,474;4,5
4,5|8|;9;4,5;8;1,66;4,5
4,5|9|;9;4,5;9;1,845;4,5
4,5|10|;9;4,5;10;2,032;4,5
4,5|11|;9;4,5;11;2,218;4,5
4,5|12|;9;4,5;12;2,405;4,5
4,5|13|;9;4,5;13;2,59;4,5
4,5|14|;9;4,5;14;2,776;4,5
4,5|15|;9;4,5;15;2,966;4,5
4,5|16|;9;4,5;16;3,152;4,5
4,5|17|;9;4,5;17;3,339;4,5
4,5|18|;9;4,5;18;3,528;4,5
4,5|19|;9;4,5;19;3,713;4,5
4,5|20|;9;4,5;20;3,904;4,5
4,5|21|;9;4,5;21;4,092;4,5
4,5|22|;9;4,5;22;4,28;4,5
4,5|23|;9;4,5;23;4,47;4,5
4,5|24|;9;4,5;24;4,659;4,5
4,5|25|;9;4,5;25;4,845;4,5
4,5|26|;9;4,5;26;5,034;4,5
4,5|27|;9;4,5;27;5,224;4,5
4,5|28|;9;4,5;28;5,414;4,5
4,5|29|;9;4,5;29;5,606;4,5
4,5|30|;9;4,5;30;5,798;4,5
4,5|31|;9;4,5;31;5,989;4,5
4,5|32|;9;4,5;32;6,176;4,5
4,5|33|;9;4,5;33;6,372;4,5
4,5|34|;9;4,5;34;6,562;4,5
4,5|35|;9;4,5;35;6,75;4,5
4,5|36|;9;4,5;36;6,941;4,5
4,5|37|;9;4,5;37;7,137;4,5
4,5|38|;9;4,5;38;7,327;4,5
4,5|39|;9;4,5;39;7,523;4,5
4,5|40|;9;4,5;40;7,712;4,5
4,5|41|;9;4,5;41;7,903;4,5
4,5|42|;9;4,5;42;8,099;4,5
4,5|43|;9;4,5;43;8,291;4,5
4,5|44|;9;4,5;44;8,486;4,5
4,5|45|;9;4,5;45;8,675;4,5
4,5|46|;9;4,5;46;8,872;4,5
4,5|47|;9;4,5;47;9,068;4,5
4,5|48|;9;4,5;48;9,257;4,5
4,5|49|;9;4,5;49;9,456;4,5
4,5|50|;9;4,5;50;9,65;4,5
4,5|51|;9;4,5;51;9,843;4,5
4,5|52|;9;4,5;52;10,042;4,5
4,5|53|;9;4,5;53;10,24;4,5
4,5|54|;9;4,5;54;10,43;4,5
4,5|55|;9;4,5;55;10,627;4,5
4,5|56|;9;4,5;56;10,824;4,5
4,5|57|;9;4,5;57;11,024;4,5
4,5|58|;9;4,5;58;11,22;4,5
4,5|59|;9;4,5;59;11,415;4,5
4,5|60|;9;4,5;60;11,612;4,5
4,5|61|;9;4,5;61;11,813;4,5
4,5|62|;9;4,5;62;12,009;4,5
4,5|63|;9;4,5;63;12,203;4,5
4,5|64|;9;4,5;64;12,396;4,5
4,5|65|;9;4,5;65;12,606;4,5
4,5|66|;9;4,5;66;12,794;4,5
4,5|67|;9;4,5;67;13,002;4,5
4,5|68|;9;4,5;68;13,192;4,5
4,5|69|;9;4,5;69;13,394;4,5
4,5|70|;9;4,5;70;13,596;4,5
4,5|71|;9;4,5;71;13,798;4,5
4,5|72|;9;4,5;72;13,99;4,5
4,6|6|;9;4,6;6;1,318;4,6
4,6|7|;9;4,6;7;1,507;4,6
4,6|8|;9;4,6;8;1,697;4,6
4,6|9|;9;4,6;9;1,887;4,6
4,6|10|;9;4,6;10;2,076;4,6
4,6|11|;9;4,6;11;2,267;4,6
4,6|12|;9;4,6;12;2,458;4,6
4,6|13|;9;4,6;13;2,648;4,6
4,6|14|;9;4,6;14;2,838;4,6
4,6|15|;9;4,6;15;3,029;4,6
4,6|16|;9;4,6;16;3,222;4,6
4,6|17|;9;4,6;17;3,414;4,6
4,6|18|;9;4,6;18;3,604;4,6
4,6|19|;9;4,6;19;3,797;4,6
4,6|20|;9;4,6;20;3,988;4,6
4,6|21|;9;4,6;21;4,181;4,6
4,6|22|;9;4,6;22;4,376;4,6
4,6|23|;9;4,6;23;4,567;4,6
4,6|24|;9;4,6;24;4,76;4,6
4,6|25|;9;4,6;25;4,955;4,6
4,6|26|;9;4,6;26;5,149;4,6
4,6|27|;9;4,6;27;5,343;4,6
4,6|28|;9;4,6;28;5,537;4,6
4,6|29|;9;4,6;29;5,728;4,6
4,6|30|;9;4,6;30;5,924;4,6
4,6|31|;9;4,6;31;6,119;4,6
4,6|32|;9;4,6;32;6,316;4,6
4,6|33|;9;4,6;33;6,51;4,6
4,6|34|;9;4,6;34;6,705;4,6
4,6|35|;9;4,6;35;6,904;4,6
4,6|36|;9;4,6;36;7,1;4,6
4,6|37|;9;4,6;37;7,292;4,6
4,6|38|;9;4,6;38;7,494;4,6
4,6|39|;9;4,6;39;7,686;4,6
4,6|40|;9;4,6;40;7,888;4,6
4,6|41|;9;4,6;41;8,084;4,6
4,6|42|;9;4,6;42;8,276;4,6
4,6|43|;9;4,6;43;8,48;4,6
4,6|44|;9;4,6;44;8,671;4,6
4,6|45|;9;4,6;45;8,873;4,6
4,6|46|;9;4,6;46;9,075;4,6
4,6|47|;9;4,6;47;9,275;4,6
4,6|48|;9;4,6;48;9,468;4,6
4,6|49|;9;4,6;49;9,671;4,6
4,6|50|;9;4,6;50;9,87;4,6
4,6|51|;9;4,6;51;10,068;4,6
4,6|52|;9;4,6;52;10,271;4,6
4,6|53|;9;4,6;53;10,462;4,6
4,6|54|;9;4,6;54;10,667;4,6
4,6|55|;9;4,6;55;10,869;4,6
4,6|56|;9;4,6;56;11,07;4,6
4,6|57|;9;4,6;57;11,264;4,6
4,6|58|;9;4,6;58;11,476;4,6
4,6|59|;9;4,6;59;11,675;4,6
4,6|60|;9;4,6;60;11,876;4,6
4,6|61|;9;4,6;61;12,081;4,6
4,6|62|;9;4,6;62;12,282;4,6
4,6|63|;9;4,6;63;12,48;4,6
4,6|64|;9;4,6;64;12,678;4,6
4,6|65|;9;4,6;65;12,892;4,6
4,6|66|;9;4,6;66;13,084;4,6
4,6|67|;9;4,6;67;13,297;4,6
4,6|68|;9;4,6;68;13,492;4,6
4,6|69|;9;4,6;69;13,698;4,6
4,6|70|;9;4,6;70;13,904;4,6
4,6|71|;9;4,6;71;14,111;4,6
4,6|72|;9;4,6;72;14,307;4,6
4,7|6|;9;4,7;6;1,346;4,7
4,7|7|;9;4,7;7;1,539;4,7
4,7|8|;9;4,7;8;1,732;4,7
4,7|9|;9;4,7;9;1,926;4,7
4,7|10|;9;4,7;10;2,122;4,7
4,7|11|;9;4,7;11;2,315;4,7
4,7|12|;9;4,7;12;2,511;4,7
4,7|13|;9;4,7;13;2,705;4,7
4,7|14|;9;4,7;14;2,9;4,7
4,7|15|;9;4,7;15;3,095;4,7
4,7|16|;9;4,7;16;3,289;4,7
4,7|17|;9;4,7;17;3,485;4,7
4,7|18|;9;4,7;18;3,683;4,7
4,7|19|;9;4,7;19;3,88;4,7
4,7|20|;9;4,7;20;4,076;4,7
4,7|21|;9;4,7;21;4,273;4,7
4,7|22|;9;4,7;22;4,469;4,7
4,7|23|;9;4,7;23;4,668;4,7
4,7|24|;9;4,7;24;4,865;4,7
4,7|25|;9;4,7;25;5,06;4,7
4,7|26|;9;4,7;26;5,258;4,7
4,7|27|;9;4,7;27;5,456;4,7
4,7|28|;9;4,7;28;5,655;4,7
4,7|29|;9;4,7;29;5,855;4,7
4,7|30|;9;4,7;30;6,056;4,7
4,7|31|;9;4,7;31;6,255;4,7
4,7|32|;9;4,7;32;6,451;4,7
4,7|33|;9;4,7;33;6,649;4,7
4,7|34|;9;4,7;34;6,855;4,7
4,7|35|;9;4,7;35;7,051;4,7
4,7|36|;9;4,7;36;7,251;4,7
4,7|37|;9;4,7;37;7,455;4,7
4,7|38|;9;4,7;38;7,654;4,7
4,7|39|;9;4,7;39;7,858;4,7
4,7|40|;9;4,7;40;8,056;4,7
4,7|41|;9;4,7;41;8,256;4,7
4,7|42|;9;4,7;42;8,46;4,7
4,7|43|;9;4,7;43;8,661;4,7
4,7|44|;9;4,7;44;8,864;4,7
4,7|45|;9;4,7;45;9,071;4,7
4,7|46|;9;4,7;46;9,268;4,7
4,7|47|;9;4,7;47;9,472;4,7
4,7|48|;9;4,7;48;9,68;4,7
4,7|49|;9;4,7;49;9,877;4,7
4,7|50|;9;4,7;50;10,08;4,7
4,7|51|;9;4,7;51;10,292;4,7
4,7|52|;9;4,7;52;10,489;4,7
4,7|53|;9;4,7;53;10,695;4,7
4,7|54|;9;4,7;54;10,905;4,7
4,7|55|;9;4,7;55;11,111;4,7
4,7|56|;9;4,7;56;11,316;4,7
4,7|57|;9;4,7;57;11,514;4,7
4,7|58|;9;4,7;58;11,719;4,7
4,7|59|;9;4,7;59;11,934;4,7
4,7|60|;9;4,7;60;12,14;4,7
4,7|61|;9;4,7;61;12,337;4,7
4,7|62|;9;4,7;62;12,554;4,7
4,7|63|;9;4,7;63;12,757;4,7
4,7|64|;9;4,7;64;12,96;4,7
4,7|65|;9;4,7;65;13,165;4,7
4,7|66|;9;4,7;66;13,374;4,7
4,7|67|;9;4,7;67;13,591;4,7
4,7|68|;9;4,7;68;13,791;4,7
4,7|69|;9;4,7;69;14,001;4,7
4,7|70|;9;4,7;70;14,212;4,7
4,7|71|;9;4,7;71;14,423;4,7
4,7|72|;9;4,7;72;14,624;4,7
4,8|6|;9;4,8;6;1,374;4,7
4,8|7|;9;4,8;7;1,571;4,7
4,8|8|;9;4,8;8;1,769;4,7
4,8|9|;9;4,8;9;1,968;4,8
4,8|10|;9;4,8;10;2,166;4,7
4,8|11|;9;4,8;11;2,363;4,7
4,8|12|;9;4,8;12;2,561;4,7
4,8|13|;9;4,8;13;2,762;4,8
4,8|14|;9;4,8;14;2,961;4,7
4,8|15|;9;4,8;15;3,161;4,7
4,8|16|;9;4,8;16;3,36;4,7
4,8|17|;9;4,8;17;3,56;4,7
4,8|18|;9;4,8;18;3,759;4,7
4,8|19|;9;4,8;19;3,96;4,7
4,8|20|;9;4,8;20;4,16;4,7
4,8|21|;9;4,8;21;4,361;4,7
4,8|22|;9;4,8;22;4,561;4,7
4,8|23|;9;4,8;23;4,765;4,7
4,8|24|;9;4,8;24;4,966;4,7
4,8|25|;9;4,8;25;5,17;4,7
4,8|26|;9;4,8;26;5,372;4,8
4,8|27|;9;4,8;27;5,575;4,8
4,8|28|;9;4,8;28;5,778;4,8
4,8|29|;9;4,8;29;5,977;4,7
4,8|30|;9;4,8;30;6,182;4,7
4,8|31|;9;4,8;31;6,385;4,7
4,8|32|;9;4,8;32;6,592;4,7
4,8|33|;9;4,8;33;6,794;4,7
4,8|34|;9;4,8;34;6,998;4,7
4,8|35|;9;4,8;35;7,205;4,8
4,8|36|;9;4,8;36;7,409;4,8
4,8|37|;9;4,8;37;7,61;4,7
4,8|38|;9;4,8;38;7,813;4,7
4,8|39|;9;4,8;39;8,022;4,7
4,8|40|;9;4,8;40;8,232;4,8
4,8|41|;9;4,8;41;8,436;4,7
4,8|42|;9;4,8;42;8,637;4,7
4,8|43|;9;4,8;43;8,85;4,7
4,8|44|;9;4,8;44;9,058;4,8
4,8|45|;9;4,8;45;9,26;4,7
4,8|46|;9;4,8;46;9,47;4,7
4,8|47|;9;4,8;47;9,679;4,7
4,8|48|;9;4,8;48;9,881;4,7
4,8|49|;9;4,8;49;10,093;4,7
4,8|50|;9;4,8;50;10,3;4,7
4,8|51|;9;4,8;51;10,506;4,7
4,8|52|;9;4,8;52;10,718;4,7
4,8|53|;9;4,8;53;10,929;4,7
4,8|54|;9;4,8;54;11,132;4,7
4,8|55|;9;4,8;55;11,342;4,7
4,8|56|;9;4,8;56;11,552;4,7
4,8|57|;9;4,8;57;11,765;4,7
4,8|58|;9;4,8;58;11,974;4,7
4,8|59|;9;4,8;59;12,182;4,7
4,8|60|;9;4,8;60;12,392;4,7
4,8|61|;9;4,8;61;12,606;4,7
4,8|62|;9;4,8;62;12,815;4,7
4,8|63|;9;4,8;63;13,034;4,7
4,8|64|;9;4,8;64;13,241;4,7
4,8|65|;9;4,8;65;13,451;4,7
4,8|66|;9;4,8;66;13,665;4,7
4,8|67|;9;4,8;67;13,886;4,8
4,8|68|;9;4,8;68;14,09;4,7
4,8|69|;9;4,8;69;14,305;4,7
4,8|70|;9;4,8;70;14,52;4,7
4,8|71|;9;4,8;71;14,736;4,7
4,8|72|;9;4,8;72;14,955;4,8
4,9|6|;9;4,9;6;1,402;4,8
4,9|7|;9;4,9;7;1,603;4,8
4,9|8|;9;4,9;8;1,806;4,8
4,9|9|;9;4,9;9;2,007;4,8
4,9|10|;9;4,9;10;2,21;4,8
4,9|11|;9;4,9;11;2,412;4,8
4,9|12|;9;4,9;12;2,614;4,8
4,9|13|;9;4,9;13;2,819;4,8
4,9|14|;9;4,9;14;3,02;4,8
4,9|15|;9;4,9;15;3,224;4,8
4,9|16|;9;4,9;16;3,43;4,8
4,9|17|;9;4,9;17;3,632;4,8
4,9|18|;9;4,9;18;3,838;4,8
4,9|19|;9;4,9;19;4,044;4,8
4,9|20|;9;4,9;20;4,248;4,8
4,9|21|;9;4,9;21;4,454;4,8
4,9|22|;9;4,9;22;4,658;4,8
4,9|23|;9;4,9;23;4,861;4,8
4,9|24|;9;4,9;24;5,067;4,8
4,9|25|;9;4,9;25;5,275;4,8
4,9|26|;9;4,9;26;5,482;4,8
4,9|27|;9;4,9;27;5,688;4,8
4,9|28|;9;4,9;28;5,896;4,8
4,9|29|;9;4,9;29;6,105;4,8
4,9|30|;9;4,9;30;6,308;4,8
4,9|31|;9;4,9;31;6,516;4,8
4,9|32|;9;4,9;32;6,726;4,8
4,9|33|;9;4,9;33;6,933;4,8
4,9|34|;9;4,9;34;7,14;4,8
4,9|35|;9;4,9;35;7,352;4,8
4,9|36|;9;4,9;36;7,56;4,8
4,9|37|;9;4,9;37;7,773;4,8
4,9|38|;9;4,9;38;7,98;4,8
4,9|39|;9;4,9;39;8,193;4,8
4,9|40|;9;4,9;40;8,4;4,8
4,9|41|;9;4,9;41;8,609;4,8
4,9|42|;9;4,9;42;8,822;4,8
4,9|43|;9;4,9;43;9,03;4,8
4,9|44|;9;4,9;44;9,243;4,8
4,9|45|;9;4,9;45;9,458;4,8
4,9|46|;9;4,9;46;9,664;4,8
4,9|47|;9;4,9;47;9,876;4,8
4,9|48|;9;4,9;48;10,092;4,8
4,9|49|;9;4,9;49;10,308;4,8
4,9|50|;9;4,9;50;10,52;4,8
4,9|51|;9;4,9;51;10,731;4,8
4,9|52|;9;4,9;52;10,947;4,8
4,9|53|;9;4,9;53;11,162;4,8
4,9|54|;9;4,9;54;11,369;4,8
4,9|55|;9;4,9;55;11,584;4,8
4,9|56|;9;4,9;56;11,798;4,8
4,9|57|;9;4,9;57;12,016;4,8
4,9|58|;9;4,9;58;12,23;4,8
4,9|59|;9;4,9;59;12,442;4,8
4,9|60|;9;4,9;60;12,656;4,8
4,9|61|;9;4,9;61;12,874;4,8
4,9|62|;9;4,9;62;13,088;4,8
4,9|63|;9;4,9;63;13,311;4,8
4,9|64|;9;4,9;64;13,523;4,8
4,9|65|;9;4,9;65;13,737;4,8
4,9|66|;9;4,9;66;13,955;4,8
4,9|67|;9;4,9;67;14,181;4,8
4,9|68|;9;4,9;68;14,389;4,8
4,9|69|;9;4,9;69;14,609;4,8
4,9|70|;9;4,9;70;14,828;4,8
4,9|71|;9;4,9;71;15,048;4,8
4,9|72|;9;4,9;72;15,272;4,8
5|6|;9;5;6;1,431;4,9
5|7|;9;5;7;1,635;4,9
5|8|;9;5;8;1,841;4,9
5|9|;9;5;9;2,047;4,9
5|10|;9;5;10;2,254;4,9
5|11|;9;5;11;2,46;4,9
5|12|;9;5;12;2,667;4,9
5|13|;9;5;13;2,874;4,9
5|14|;9;5;14;3,082;4,9
5|15|;9;5;15;3,29;4,9
5|16|;9;5;16;3,497;4,9
5|17|;9;5;17;3,706;4,9
5|18|;9;5;18;3,914;4,9
5|19|;9;5;19;4,123;4,9
5|20|;9;5;20;4,332;4,9
5|21|;9;5;21;4,542;4,9
5|22|;9;5;22;4,75;4,9
5|23|;9;5;23;4,962;4,9
5|24|;9;5;24;5,172;4,9
5|25|;9;5;25;5,38;4,9
5|26|;9;5;26;5,591;4,9
5|27|;9;5;27;5,802;4,9
5|28|;9;5;28;6,013;4,9
5|29|;9;5;29;6,227;4,9
5|30|;9;5;30;6,44;4,9
5|31|;9;5;31;6,652;4,9
5|32|;9;5;32;6,86;4,9
5|33|;9;5;33;7,078;4,9
5|34|;9;5;34;7,29;4,9
5|35|;9;5;35;7,499;4,9
5|36|;9;5;36;7,719;4,9
5|37|;9;5;37;7,929;4,9
5|38|;9;5;38;8,14;4,9
5|39|;9;5;39;8,357;4,9
5|40|;9;5;40;8,576;4,9
5|41|;9;5;41;8,789;4,9
5|42|;9;5;42;9,006;4,9
5|43|;9;5;43;9,22;4,9
5|44|;9;5;44;9,436;4,9
5|45|;9;5;45;9,647;4,9
5|46|;9;5;46;9,866;4,9
5|47|;9;5;47;10,083;4,9
5|48|;9;5;48;10,304;4,9
5|49|;9;5;49;10,514;4,9
5|50|;9;5;50;10,73;4,9
5|51|;9;5;51;10,955;4,9
5|52|;9;5;52;11,165;4,9
5|53|;9;5;53;11,384;4,9
5|54|;9;5;54;11,607;4,9
5|55|;9;5;55;11,826;4,9
5|56|;9;5;56;12,044;4,9
5|57|;9;5;57;12,267;4,9
5|58|;9;5;58;12,485;4,9
5|59|;9;5;59;12,701;4,9
5|60|;9;5;60;12,92;4,9
5|61|;9;5;61;13,142;4,9
5|62|;9;5;62;13,36;4,9
5|63|;9;5;63;13,589;4,9
5|64|;9;5;64;13,804;4,9
5|65|;9;5;65;14,023;4,9
5|66|;9;5;66;14,246;4,9
5|67|;9;5;67;14,476;4,9
5|68|;9;5;68;14,688;4,9
5|69|;9;5;69;14,912;4,9
5|70|;9;5;70;15,136;4,9
5|71|;9;5;71;15,36;4,9
5|72|;9;5;72;15,588;4,9
5,1|6|;9;5,1;6;1,458;5
5,1|7|;9;5,1;7;1,668;5
5,1|8|;9;5,1;8;1,878;5
5,1|9|;9;5,1;9;2,088;5
5,1|10|;9;5,1;10;2,298;5
5,1|11|;9;5,1;11;2,509;5
5,1|12|;9;5,1;12;2,72;5
5,1|13|;9;5,1;13;2,931;5
5,1|14|;9;5,1;14;3,143;5
