Zins/Laufzeit;Produkt;Effektivzins;Laufzeit;Faktor;Nominalzins
0,2|22|;9;0,2;22;0,192;0,3
0,2|23|;9;0,2;23;0,201;0,3
0,2|24|;9;0,2;24;0,209;0,3
0,2|25|;9;0,2;25;0,215;0,2
0,2|26|;9;0,2;26;0,224;0,2
0,2|27|;9;0,2;27;0,234;0,3
0,2|28|;9;0,2;28;0,24;0,2
0,2|29|;9;0,2;29;0,247;0,2
0,2|30|;9;0,2;30;0,26;0,3
0,2|31|;9;0,2;31;0,266;0,2
0,2|32|;9;0,2;32;0,275;0,2
0,2|33|;9;0,2;33;0,28;0,2
0,2|34|;9;0,2;34;0,293;0,3
0,2|35|;9;0,2;35;0,303;0,3
0,2|36|;9;0,2;36;0,31;0,3
0,2|37|;9;0,2;37;0,314;0,2
0,2|38|;9;0,2;38;0,327;0,3
0,2|39|;9;0,2;39;0,331;0,2
0,2|40|;9;0,2;40;0,344;0,3
0,2|41|;9;0,2;41;0,351;0,3
0,2|42|;9;0,2;42;0,354;0,2
0,2|43|;9;0,2;43;0,37;0,3
0,2|44|;9;0,2;44;0,372;0,2
0,2|45|;9;0,2;45;0,386;0,3
0,2|46|;9;0,2;46;0,39;0,2
0,2|47|;9;0,2;47;0,401;0,3
0,2|48|;9;0,2;48;0,406;0,2
0,2|49|;9;0,2;49;0,42;0,3
0,2|50|;9;0,2;50;0,43;0,3
0,2|51|;9;0,2;51;0,429;0,2
0,2|52|;9;0,2;52;0,443;0,3
0,2|53|;9;0,2;53;0,445;0,2
0,2|54|;9;0,2;54;0,461;0,3
0,2|55|;9;0,2;55;0,463;0,2
0,2|56|;9;0,2;56;0,475;0,2
0,2|57|;9;0,2;57;0,479;0,2
0,2|58|;9;0,2;58;0,49;0,2
0,2|59|;9;0,2;59;0,5;0,3
0,2|60|;9;0,2;60;0,512;0,3
0,2|61|;9;0,2;61;0,515;0,2
0,2|62|;9;0,2;62;0,526;0,3
0,2|63|;9;0,2;63;0,535;0,3
0,2|64|;9;0,2;64;0,544;0,3
0,2|65|;9;0,2;65;0,555;0,3
0,2|66|;9;0,2;66;0,557;0,2
0,2|67|;9;0,2;67;0,567;0,2
0,2|68|;9;0,2;68;0,572;0,2
0,2|69|;9;0,2;69;0,588;0,3
0,2|70|;9;0,2;70;0,59;0,2
0,2|71|;9;0,2;71;0,607;0,3
0,2|72|;9;0,2;72;0,612;0,3
0,3|6|;9;0,3;6;0,087;0,3
0,3|7|;9;0,3;7;0,1;0,3
0,3|8|;9;0,3;8;0,112;0,3
0,3|9|;9;0,3;9;0,125;0,4
0,3|10|;9;0,3;10;0,138;0,4
0,3|11|;9;0,3;11;0,15;0,4
0,3|12|;9;0,3;12;0,161;0,3
0,3|13|;9;0,3;13;0,175;0,4
0,3|14|;9;0,3;14;0,186;0,3
0,3|15|;9;0,3;15;0,2;0,3
0,3|16|;9;0,3;16;0,211;0,3
0,3|17|;9;0,3;17;0,225;0,4
0,3|18|;9;0,3;18;0,238;0,4
0,3|19|;9;0,3;19;0,251;0,4
0,3|20|;9;0,3;20;0,264;0,4
0,3|21|;9;0,3;21;0,275;0,3
0,3|22|;9;0,3;22;0,289;0,4
0,3|23|;9;0,3;23;0,298;0,3
0,3|24|;9;0,3;24;0,31;0,3
0,3|25|;9;0,3;25;0,325;0,3
0,3|26|;9;0,3;26;0,339;0,4
0,3|27|;9;0,3;27;0,348;0,3
0,3|28|;9;0,3;28;0,363;0,4
0,3|29|;9;0,3;29;0,374;0,3
0,3|30|;9;0,3;30;0,386;0,3
0,3|31|;9;0,3;31;0,402;0,4
0,3|32|;9;0,3;32;0,409;0,3
0,3|33|;9;0,3;33;0,425;0,3
0,3|34|;9;0,3;34;0,436;0,3
0,3|35|;9;0,3;35;0,45;0,3
0,3|36|;9;0,3;36;0,461;0,3
0,3|37|;9;0,3;37;0,477;0,4
0,3|38|;9;0,3;38;0,487;0,3
0,3|39|;9;0,3;39;0,503;0,4
0,3|40|;9;0,3;40;0,512;0,3
0,3|41|;9;0,3;41;0,523;0,3
0,3|42|;9;0,3;42;0,539;0,4
0,3|43|;9;0,3;43;0,551;0,4
0,3|44|;9;0,3;44;0,566;0,4
0,3|45|;9;0,3;45;0,575;0,3
0,3|46|;9;0,3;46;0,583;0,3
0,3|47|;9;0,3;47;0,598;0,3
0,3|48|;9;0,3;48;0,617;0,4
0,3|49|;9;0,3;49;0,626;0,4
0,3|50|;9;0,3;50;0,64;0,4
0,3|51|;9;0,3;51;0,653;0,4
0,3|52|;9;0,3;52;0,661;0,3
0,3|53|;9;0,3;53;0,678;0,4
0,3|54|;9;0,3;54;0,688;0,4
0,3|55|;9;0,3;55;0,705;0,4
0,3|56|;9;0,3;56;0,71;0,3
0,3|57|;9;0,3;57;0,73;0,4
0,3|58|;9;0,3;58;0,734;0,3
0,3|59|;9;0,3;59;0,748;0,3
0,3|60|;9;0,3;60;0,764;0,3
0,3|61|;9;0,3;61;0,772;0,3
0,3|62|;9;0,3;62;0,787;0,3
0,3|63|;9;0,3;63;0,8;0,3
0,3|64|;9;0,3;64;0,812;0,3
0,3|65|;9;0,3;65;0,828;0,4
0,3|66|;9;0,3;66;0,834;0,3
0,3|67|;9;0,3;67;0,848;0,3
0,3|68|;9;0,3;68;0,857;0,3
0,3|69|;9;0,3;69;0,878;0,4
0,3|70|;9;0,3;70;0,884;0,3
0,3|71|;9;0,3;71;0,905;0,4
0,3|72|;9;0,3;72;0,915;0,4
0,4|6|;9;0,4;6;0,116;0,4
0,4|7|;9;0,4;7;0,133;0,5
0,4|8|;9;0,4;8;0,15;0,5
0,4|9|;9;0,4;9;0,166;0,4
0,4|10|;9;0,4;10;0,184;0,5
0,4|11|;9;0,4;11;0,199;0,4
0,4|12|;9;0,4;12;0,216;0,5
0,4|13|;9;0,4;13;0,232;0,4
0,4|14|;9;0,4;14;0,248;0,4
0,4|15|;9;0,4;15;0,266;0,4
0,4|16|;9;0,4;16;0,281;0,4
0,4|17|;9;0,4;17;0,3;0,5
0,4|18|;9;0,4;18;0,317;0,5
0,4|19|;9;0,4;19;0,331;0,4
0,4|20|;9;0,4;20;0,348;0,4
0,4|21|;9;0,4;21;0,367;0,5
0,4|22|;9;0,4;22;0,381;0,4
0,4|23|;9;0,4;23;0,399;0,4
0,4|24|;9;0,4;24;0,416;0,4
0,4|25|;9;0,4;25;0,435;0,5
0,4|26|;9;0,4;26;0,448;0,4
0,4|27|;9;0,4;27;0,467;0,4
0,4|28|;9;0,4;28;0,48;0,4
0,4|29|;9;0,4;29;0,502;0,5
0,4|30|;9;0,4;30;0,518;0,5
0,4|31|;9;0,4;31;0,533;0,4
0,4|32|;9;0,4;32;0,55;0,4
0,4|33|;9;0,4;33;0,564;0,4
0,4|34|;9;0,4;34;0,585;0,5
0,4|35|;9;0,4;35;0,597;0,4
0,4|36|;9;0,4;36;0,62;0,5
0,4|37|;9;0,4;37;0,632;0,4
0,4|38|;9;0,4;38;0,646;0,4
0,4|39|;9;0,4;39;0,666;0,4
0,4|40|;9;0,4;40;0,68;0,4
0,4|41|;9;0,4;41;0,704;0,5
0,4|42|;9;0,4;42;0,716;0,4
0,4|43|;9;0,4;43;0,731;0,4
0,4|44|;9;0,4;44;0,751;0,5
0,4|45|;9;0,4;45;0,764;0,4
0,4|46|;9;0,4;46;0,786;0,5
0,4|47|;9;0,4;47;0,796;0,4
0,4|48|;9;0,4;48;0,819;0,5
0,4|49|;9;0,4;49;0,832;0,4
0,4|50|;9;0,4;50;0,85;0,4
0,4|51|;9;0,4;51;0,867;0,4
0,4|52|;9;0,4;52;0,88;0,4
0,4|53|;9;0,4;53;0,901;0,4
0,4|54|;9;0,4;54;0,915;0,4
0,4|55|;9;0,4;55;0,936;0,5
0,4|56|;9;0,4;56;0,945;0,4
0,4|57|;9;0,4;57;0,969;0,5
0,4|58|;9;0,4;58;0,989;0,5
0,4|59|;9;0,4;59;0,996;0,4
0,4|60|;9;0,4;60;1,016;0,4
0,4|61|;9;0,4;61;1,04;0,5
0,4|62|;9;0,4;62;1,047;0,4
0,4|63|;9;0,4;63;1,064;0,4
0,4|64|;9;0,4;64;1,081;0,4
0,4|65|;9;0,4;65;1,101;0,4
0,4|66|;9;0,4;66;1,125;0,5
0,4|67|;9;0,4;67;1,129;0,4
0,4|68|;9;0,4;68;1,156;0,5
0,4|69|;9;0,4;69;1,167;0,4
0,4|70|;9;0,4;70;1,192;0,5
0,4|71|;9;0,4;71;1,203;0,4
0,4|72|;9;0,4;72;1,217;0,4
0,5|6|;9;0,5;6;0,146;0,6
0,5|7|;9;0,5;7;0,165;0,5
0,5|8|;9;0,5;8;0,187;0,5
0,5|9|;9;0,5;9;0,207;0,5
0,5|10|;9;0,5;10;0,228;0,5
0,5|11|;9;0,5;11;0,249;0,5
0,5|12|;9;0,5;12;0,269;0,5
0,5|13|;9;0,5;13;0,292;0,6
0,5|14|;9;0,5;14;0,312;0,6
0,5|15|;9;0,5;15;0,332;0,5
0,5|16|;9;0,5;16;0,355;0,6
0,5|17|;9;0,5;17;0,374;0,5
0,5|18|;9;0,5;18;0,396;0,6
0,5|19|;9;0,5;19;0,415;0,5
0,5|20|;9;0,5;20;0,436;0,5
0,5|21|;9;0,5;21;0,459;0,6
0,5|22|;9;0,5;22;0,478;0,5
0,5|23|;9;0,5;23;0,5;0,6
0,5|24|;9;0,5;24;0,521;0,6
0,5|25|;9;0,5;25;0,54;0,5
0,5|26|;9;0,5;26;0,562;0,5
0,5|27|;9;0,5;27;0,58;0,5
0,5|28|;9;0,5;28;0,604;0,5
0,5|29|;9;0,5;29;0,624;0,5
0,5|30|;9;0,5;30;0,644;0,5
0,5|31|;9;0,5;31;0,669;0,6
0,5|32|;9;0,5;32;0,684;0,5
0,5|33|;9;0,5;33;0,709;0,5
0,5|34|;9;0,5;34;0,728;0,5
0,5|35|;9;0,5;35;0,751;0,5
0,5|36|;9;0,5;36;0,771;0,5
0,5|37|;9;0,5;37;0,795;0,6
0,5|38|;9;0,5;38;0,814;0,5
0,5|39|;9;0,5;39;0,83;0,5
0,5|40|;9;0,5;40;0,856;0,6
0,5|41|;9;0,5;41;0,876;0,5
0,5|42|;9;0,5;42;0,892;0,5
0,5|43|;9;0,5;43;0,921;0,6
0,5|44|;9;0,5;44;0,936;0,5
0,5|45|;9;0,5;45;0,962;0,6
0,5|46|;9;0,5;46;0,979;0,5
0,5|47|;9;0,5;47;1,003;0,6
0,5|48|;9;0,5;48;1,02;0,5
0,5|49|;9;0,5;49;1,038;0,5
0,5|50|;9;0,5;50;1,06;0,5
0,5|51|;9;0,5;51;1,082;0,5
0,5|52|;9;0,5;52;1,108;0,6
0,5|53|;9;0,5;53;1,124;0,5
0,5|54|;9;0,5;54;1,152;0,6
0,5|55|;9;0,5;55;1,167;0,5
0,5|56|;9;0,5;56;1,192;0,6
0,5|57|;9;0,5;57;1,209;0,5
0,5|58|;9;0,5;58;1,233;0,5
0,5|59|;9;0,5;59;1,255;0,6
0,5|60|;9;0,5;60;1,268;0,5
0,5|61|;9;0,5;61;1,296;0,6
0,5|62|;9;0,5;62;1,32;0,6
0,5|63|;9;0,5;63;1,341;0,6
0,5|64|;9;0,5;64;1,363;0,6
0,5|65|;9;0,5;65;1,374;0,5
0,5|66|;9;0,5;66;1,402;0,6
0,5|67|;9;0,5;67;1,424;0,6
0,5|68|;9;0,5;68;1,442;0,5
0,5|69|;9;0,5;69;1,457;0,5
0,5|70|;9;0,5;70;1,486;0,5
0,5|71|;9;0,5;71;1,501;0,5
0,5|72|;9;0,5;72;1,52;0,5
0,6|6|;9;0,6;6;0,174;0,6
0,6|7|;9;0,6;7;0,199;0,6
0,6|8|;9;0,6;8;0,224;0,6
0,6|9|;9;0,6;9;0,249;0,6
0,6|10|;9;0,6;10;0,274;0,6
0,6|11|;9;0,6;11;0,3;0,6
0,6|12|;9;0,6;12;0,324;0,6
0,6|13|;9;0,6;13;0,349;0,6
0,6|14|;9;0,6;14;0,374;0,6
0,6|15|;9;0,6;15;0,398;0,6
0,6|16|;9;0,6;16;0,425;0,7
0,6|17|;9;0,6;17;0,449;0,6
0,6|18|;9;0,6;18;0,476;0,7
0,6|19|;9;0,6;19;0,498;0,6
0,6|20|;9;0,6;20;0,524;0,6
0,6|21|;9;0,6;21;0,548;0,6
0,6|22|;9;0,6;22;0,575;0,6
0,6|23|;9;0,6;23;0,597;0,6
0,6|24|;9;0,6;24;0,622;0,6
0,6|25|;9;0,6;25;0,65;0,6
0,6|26|;9;0,6;26;0,672;0,6
0,6|27|;9;0,6;27;0,699;0,6
0,6|28|;9;0,6;28;0,727;0,7
0,6|29|;9;0,6;29;0,751;0,7
0,6|30|;9;0,6;30;0,776;0,6
0,6|31|;9;0,6;31;0,799;0,6
0,6|32|;9;0,6;32;0,825;0,6
0,6|33|;9;0,6;33;0,848;0,6
0,6|34|;9;0,6;34;0,878;0,7
0,6|35|;9;0,6;35;0,898;0,6
0,6|36|;9;0,6;36;0,922;0,6
0,6|37|;9;0,6;37;0,95;0,6
0,6|38|;9;0,6;38;0,973;0,6
0,6|39|;9;0,6;39;1,002;0,6
0,6|40|;9;0,6;40;1,024;0,6
0,6|41|;9;0,6;41;1,048;0,6
0,6|42|;9;0,6;42;1,077;0,6
0,6|43|;9;0,6;43;1,101;0,6
0,6|44|;9;0,6;44;1,129;0,7
0,6|45|;9;0,6;45;1,151;0,6
0,6|46|;9;0,6;46;1,172;0,6
0,6|47|;9;0,6;47;1,2;0,6
0,6|48|;9;0,6;48;1,222;0,6
0,6|49|;9;0,6;49;1,253;0,6
0,6|50|;9;0,6;50;1,28;0,6
0,6|51|;9;0,6;51;1,306;0,7
0,6|52|;9;0,6;52;1,327;0,6
0,6|53|;9;0,6;53;1,357;0,7
0,6|54|;9;0,6;54;1,379;0,6
0,6|55|;9;0,6;55;1,398;0,6
0,6|56|;9;0,6;56;1,427;0,6
0,6|57|;9;0,6;57;1,448;0,6
0,6|58|;9;0,6;58;1,476;0,6
0,6|59|;9;0,6;59;1,503;0,6
0,6|60|;9;0,6;60;1,532;0,6
0,6|61|;9;0,6;61;1,552;0,6
0,6|62|;9;0,6;62;1,58;0,6
0,6|63|;9;0,6;63;1,606;0,6
0,6|64|;9;0,6;64;1,632;0,6
